Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,09/29/2024,08:30:00 PM,Sp Braga,Rio Ave,4,0,H,2,0,H,18,13,8,4,13,11,4,5,0,2,0,0,1.39,4.81,7.76,1.72,2.15,1.93,1.92
P1,09/30/2024,08:15:00 PM,AVS,Farense,0,0,D,0,0,D,12,9,1,3,14,11,6,3,4,3,0,0,1.88,3.71,3.96,1.93,1.91,1.89,1.96
P1,10/04/2024,08:15:00 PM,Rio Ave,Famalicao,1,1,D,0,0,D,15,8,6,3,17,13,11,7,4,3,0,0,3.07,2.99,2.69,2.71,1.51,2.09,1.83
P1,10/05/2024,03:30:00 PM,Gil Vicente,Estrela,3,0,H,2,0,H,6,11,5,2,14,15,0,8,2,1,0,0,1.86,3.48,4.4,2.1,1.76,1.88,2
P1,10/05/2024,03:30:00 PM,Moreirense,Santa Clara,1,0,H,0,0,D,11,12,2,3,10,14,1,7,0,0,0,0,2.58,3.04,3.01,2.49,1.56,1.79,2.1
P1,10/05/2024,06:00:00 PM,Arouca,AVS,1,1,D,1,0,H,10,16,2,2,9,12,5,7,3,2,0,0,2.14,3.28,3.6,2.21,1.69,1.85,2.03
P1,10/05/2024,08:30:00 PM,Sp Lisbon,Casa Pia,2,0,H,1,0,H,22,5,6,3,9,12,5,3,1,2,0,0,1.12,9.46,17.72,1.41,2.93,1.92,1.93
P1,10/06/2024,03:30:00 PM,Farense,Estoril,1,0,H,0,0,D,15,7,2,2,18,11,5,4,4,3,0,0,2.26,3.27,3.31,2.03,1.81,1.94,1.91
P1,10/06/2024,03:30:00 PM,Guimaraes,Boavista,2,2,D,1,0,H,12,8,4,5,18,16,6,5,4,5,0,0,1.41,4.48,7.89,1.94,1.89,2.01,1.85
P1,10/06/2024,08:30:00 PM,Porto,Sp Braga,2,1,H,1,0,H,6,17,3,3,14,9,1,5,2,2,0,0,1.57,4.25,5.43,1.65,2.26,1.98,1.88
P1,10/25/2024,06:45:00 PM,Casa Pia,Nacional,1,0,H,1,0,H,14,19,5,6,17,12,7,7,3,3,0,0,2.18,3.22,3.78,2.34,1.65,1.86,2.05
P1,10/25/2024,08:45:00 PM,Santa Clara,Gil Vicente,2,1,H,2,1,H,15,10,3,1,16,17,6,4,2,4,0,0,2.16,3,4.19,2.88,1.45,1.83,2.1
